,Sample Result (ppb),Address,Analyze Date,geometry,x,y
18,1.0,5400 FRIENDSHIP AVE,1/10/2020,POINT (-79.93717929411351 40.4616985180851),-79.9371792941135,40.4616985180851
19,1.0,5500 CENTRE AVE ,1/10/2020,POINT (-79.9363957403384 40.4567891928218),-79.9363957403384,40.4567891928218
20,4.0,5600 WOODMONT ST,1/10/2020,POINT (-79.9274917908044 40.4418365518343),-79.9274917908044,40.4418365518343
21,1.0,5700 FORBES ST,1/10/2020,POINT (nan nan),,
22,1.0,6000 STANTON AVE,1/10/2020,POINT (-79.9207764636202 40.4693705554029),-79.9207764636202,40.4693705554029
23,3.0,6300 GLENVIEW PL,1/10/2020,POINT (-79.9158706347918 40.4697725689109),-79.9158706347918,40.4697725689109
24,10.0,6300 CROMBIE ST,1/10/2020,POINT (-79.91753558475391 40.4311494310969),-79.9175355847539,40.4311494310969
25,1.0,6400 MELISSA,1/10/2020,POINT (nan nan),,
26,1.0,0 AZIMUTH CT,1/8/2020,POINT (-79.9204145198244 40.4761932225743),-79.9204145198244,40.4761932225743
27,0.0,100 N SAINT CLAIR ST,1/8/2020,POINT (-79.9286011906448 40.4636151215458),-79.9286011906448,40.4636151215458
28,2.0,200 PLYMOUTH ST,1/8/2020,POINT (-80.0213547810952 40.43617066874),-80.0213547810952,40.43617066874
29,2.0,300 QUINCY ST,1/8/2020,POINT (nan nan),,
30,2.0,500 S LANG AVE,1/8/2020,POINT (-79.90625031823809 40.4462077605735),-79.9062503182381,40.4462077605735
31,2.0,700 MERCER ST,1/8/2020,POINT (-79.8171228391691 40.4109132837906),-79.8171228391691,40.4109132837906
32,2.0,900 ORANMORE ST,1/8/2020,POINT (-79.93710874880119 40.4753067357706),-79.9371087488012,40.4753067357706
33,6.0,1200 BENTON AVE,1/8/2020,POINT (-80.03342486435319 40.4861174771146),-80.0334248643532,40.4861174771146
34,0.0,1400 HIDDEN TIMBER DR,1/8/2020,POINT (-80.04776955640411 40.4455246919399),-80.0477695564041,40.4455246919399
35,2.0,1900 PLAINVIEW AVE,1/8/2020,POINT (-80.0164636047012 40.4043191451692),-80.0164636047012,40.4043191451692
36,1.0,2000 BEECHWOOD BLVD,1/8/2020,POINT (-79.9076231656954 40.4364997063248),-79.9076231656954,40.4364997063248
37,1.0,3000 PERRYSVILLE AVE,1/8/2020,POINT (-80.01218085854551 40.4762503360262),-80.0121808585455,40.4762503360262
38,1.75,3100 WADLOW ST,1/8/2020,POINT (-80.0300349442951 40.473569461654),-80.0300349442951,40.473569461654
39,2.0,3300 NIAGARA ST,1/8/2020,POINT (-79.959789945715 40.4349159421848),-79.959789945715,40.4349159421848
40,2.53,3900 PENN AVE,1/8/2020,POINT (-79.95988264425969 40.4647476479468),-79.9598826442597,40.4647476479468
41,1.0,4100 LYDIA ST,1/8/2020,POINT (-79.9421782812794 40.4241032671932),-79.9421782812794,40.4241032671932
42,1.0,5100 KEYSTONE ST,1/8/2020,POINT (-79.95415763057539 40.4774874500929),-79.9541576305754,40.4774874500929
43,1.0,5600 5TH AVE,1/8/2020,POINT (-79.9304311210371 40.4491613739164),-79.9304311210371,40.4491613739164
44,62.0,5800 DOUGLAS ST,1/8/2020,POINT (-79.9228353918722 40.4329373724662),-79.9228353918722,40.4329373724662
45,3.05,5800 DOUGLAS ST,1/8/2020,POINT (-79.9228353918722 40.4329373724662),-79.9228353918722,40.4329373724662
46,2.0,3100 AVALON ST,1/7/2020,POINT (-79.96221976192849 40.4484139390649),-79.9622197619285,40.4484139390649
47,1.0,0 UNGER LN,12/31/2019,POINT (-79.93709027755899 40.4451293251366),-79.937090277559,40.4451293251366
48,0.0,100 BIRMINGHAM AVE,12/31/2019,POINT (-79.9883317134758 40.4024376561187),-79.9883317134758,40.4024376561187
49,9.0,200 EDMOND ST,12/31/2019,POINT (-79.9473317038115 40.4651059914903),-79.9473317038115,40.4651059914903
50,2.1,300 S HIGHLAND AVE,12/31/2019,POINT (-79.9248476693657 40.4569930486808),-79.9248476693657,40.4569930486808
51,2.9,500 MORGAN ST,12/31/2019,POINT (-79.9672098381925 40.4481027647526),-79.9672098381925,40.4481027647526
52,10.2,700 E END AVE,12/31/2019,POINT (nan nan),,
53,0.0,1000 N HIGHLAND AVE,12/31/2019,POINT (-79.9193783318071 40.472614065668),-79.9193783318071,40.472614065668
54,1.87,1200 ARNOLD ST,12/31/2019,POINT (-80.04502094038379 40.4418577546745),-80.0450209403838,40.4418577546745
55,1.0,1500 CHELTON AVE,12/31/2019,POINT (-80.0116582295262 40.387433419099),-80.0116582295262,40.387433419099
56,1.0,2000 FORBES AVE ,12/3/2019,POINT (-79.9776316914184 40.4371984075409),-79.9776316914184,40.4371984075409
57,1.0,2300 ELDRIDGE ST,12/3/2019,POINT (-79.9225980870583 40.4315604077763),-79.9225980870583,40.4315604077763
58,1.0,2700 SUMNER ST,12/3/2019,POINT (-79.9697923459408 40.4211277720135),-79.9697923459408,40.4211277720135
59,1.0,3600 MINTWOOD,12/3/2019,POINT (nan nan),,
60,1.0,5200 CELIA PLACE,12/3/2019,POINT (-79.9407590829245 40.4578782223908),-79.9407590829245,40.4578782223908
61,1.99,6400 BARTLETT ST,12/3/2019,POINT (-79.917644373877 40.4358106282844),-79.917644373877,40.4358106282844
62,1.0,6800 REYNOLDS ST,12/3/2019,POINT (-79.9128019372303 40.4494135415263),-79.9128019372303,40.4494135415263
63,1.0,0 BUTLER ST,11/26/2019,POINT (-79.97396579879781 40.479102452303),-79.9739657987978,40.479102452303
64,1.0,100  ANDERSON ST ,11/26/2019,POINT (-79.9993585131048 40.4486304040777),-79.9993585131048,40.4486304040777
65,2.0,100 RUTH ST,11/26/2019,POINT (-80.0052285757456 40.4237829166911),-80.0052285757456,40.4237829166911
66,21.1,100 LECKY AVE,11/26/2019,POINT (-80.03481958182731 40.4735212781284),-80.0348195818273,40.4735212781284
67,5.0,200 S EVALINE ST,11/26/2019,POINT (-79.9410881870182 40.463980636761),-79.9410881870182,40.463980636761
68,2.0,300 MILLBRIDGE ST,11/26/2019,POINT (-79.9959777987351 40.4198113393515),-79.9959777987351,40.4198113393515
69,32.1,300 BAILEY AVE,11/26/2019,POINT (-80.0024488694898 40.4267587801956),-80.0024488694898,40.4267587801956
70,0.0,400 GARNET WAY,11/26/2019,POINT (-79.9506137134255 40.4605129277259),-79.9506137134255,40.4605129277259
71,0.0,500 E END AVE,11/26/2019,POINT (nan nan),,
72,0.0,600 CHAUNCEY ST,11/26/2019,POINT (-79.9736547193511 40.4475997608265),-79.9736547193511,40.4475997608265
73,2.0,700 MERCER ST,11/26/2019,POINT (-79.8171228391691 40.4109132837906),-79.8171228391691,40.4109132837906
74,1.74,800 MARSHALL AVE,11/26/2019,POINT (-80.0195906995405 40.4683677560323),-80.0195906995405,40.4683677560323
75,2.0,1000 CHISLETT ST,11/26/2019,POINT (-79.9294952176231 40.4757923596647),-79.9294952176231,40.4757923596647
76,2.0,1100 WINTERTON ST,11/26/2019,POINT (-79.91346077223341 40.4730585651983),-79.9134607722334,40.4730585651983
77,2.0,1200 DUFFIELD ST,11/26/2019,POINT (-79.9314660571696 40.479783852912),-79.9314660571696,40.479783852912
78,1.0,1300 LIVERPOOL ST,11/26/2019,POINT (-80.0252521804358 40.4554279119334),-80.0252521804358,40.4554279119334
79,0.0,1400 SHEFFIELD ST,11/26/2019,POINT (-80.02627552255341 40.4533383185512),-80.0262755225534,40.4533383185512
80,2.0,1600 MT JOSEPH ST,11/26/2019,POINT (nan nan),,
81,26.6,1900 CHISLETT ST,11/26/2019,POINT (-79.9245527850946 40.4867343874079),-79.9245527850946,40.4867343874079
82,3.57,2700 MOUNT ROYAL RD,11/26/2019,POINT (-79.9138807545139 40.426384183659),-79.9138807545139,40.426384183659
83,8.99,3100 BRACKENRIDGE ST,11/26/2019,POINT (-79.9622590869082 40.4479472151459),-79.9622590869082,40.4479472151459
84,1.0,3500 BETHOVEN ST,11/26/2019,POINT (-79.9608251846569 40.458502245647),-79.9608251846569,40.458502245647
85,1.85,3500 GERBER AVE,11/26/2019,POINT (-80.0332358648984 40.4796134409294),-80.0332358648984,40.4796134409294
86,1.0,3900 MCCLURE AVE,11/26/2019,POINT (-80.0387193024667 40.4861366487767),-80.0387193024667,40.4861366487767
87,2.07,3900 DREXEL RD,11/26/2019,POINT (-80.03684871846529 40.4883484054434),-80.0368487184653,40.4883484054434
88,4.6,4300 FOSTER ST,11/26/2019,POINT (-79.9613617924452 40.4715786815165),-79.9613617924452,40.4715786815165
89,1.0,4600 BAYARD ST,11/26/2019,POINT (-79.9502353182054 40.4497661878913),-79.9502353182054,40.4497661878913
90,6.87,5300 CAMELIA ST,11/26/2019,POINT (-79.9472961444234 40.478512639446),-79.9472961444234,40.478512639446
91,1.0,5500 WOODMONT ST,11/26/2019,POINT (-79.93041096286019 40.4421110095552),-79.9304109628602,40.4421110095552
92,1.0,5600 FORBES AVE,11/26/2019,POINT (-79.92752115420051 40.4378696448251),-79.9275211542005,40.4378696448251
93,1.0,5800 BRYANT ST,11/26/2019,POINT (-79.9206925806436 40.4759565843647),-79.9206925806436,40.4759565843647
94,1.0,5900 5TH AVE ,11/26/2019,POINT (-79.9256321419322 40.4517370582973),-79.9256321419322,40.4517370582973
95,308.0,6100 STANTON AVE,11/26/2019,POINT (-79.9186206647657 40.4687764576389),-79.9186206647657,40.4687764576389
96,1.0,6300 AURELIA ST,11/26/2019,POINT (-79.9214905703348 40.4576278450138),-79.9214905703348,40.4576278450138
97,1.0,6300 BURCHFIELD AVE,11/26/2019,POINT (-79.9230942148094 40.4263916566569),-79.9230942148094,40.4263916566569
98,1.13,6700 MCPHERSON BLVD,11/26/2019,POINT (-79.9105877317553 40.4554680099345),-79.9105877317553,40.4554680099345
99,1.0,0 GRAHAM PLACE,11/18/2019,POINT (-79.9353090969982 40.4554252942827),-79.9353090969982,40.4554252942827
100,1.0,0 E MARSHALL AVE,11/18/2019,POINT (-80.0086872849991 40.4749967720739),-80.0086872849991,40.4749967720739
101,6.82,0 VAN BRAAM ST,11/18/2019,POINT (-79.982836289003 40.4372498022134),-79.982836289003,40.4372498022134
102,2.03,0 WABASH ST,11/18/2019,POINT (-80.0353464206558 40.4412979286882),-80.0353464206558,40.4412979286882
103,1.0,100 S 12TH ST,11/18/2019,POINT (-79.9865003124815 40.4274371075949),-79.9865003124815,40.4274371075949
104,4.0,100 S LEXINGTON AVE,11/18/2019,POINT (-79.89941008335261 40.4484161100477),-79.8994100833526,40.4484161100477
105,0.0,100 PEARL ST,11/18/2019,POINT (-79.9479956468884 40.4652581192042),-79.9479956468884,40.4652581192042
106,4.0,100 45TH ST,11/18/2019,POINT (-79.9618063797698 40.4740898910425),-79.9618063797698,40.4740898910425
107,2.8,200 EAST END AVE,11/18/2019,POINT (nan nan),,
108,3.46,200 EMERSON ST,11/18/2019,POINT (-79.92347671478601 40.4589911584065),-79.923476714786,40.4589911584065
109,2.0,200 38TH ST,11/18/2019,POINT (-79.96419041135169 40.4666409586436),-79.9641904113517,40.4666409586436
110,4.0,300 ENRIGHT CT,11/18/2019,POINT (-79.9168371074683 40.4608791735077),-79.9168371074683,40.4608791735077
111,0.0,300 FELMETH ST,11/18/2019,POINT (-79.9640068054747 40.4150042975938),-79.9640068054747,40.4150042975938
112,0.0,300 JUCUNDA ST,11/18/2019,POINT (-79.9932396318506 40.417083776735),-79.9932396318506,40.417083776735
113,4.0,300 39TH ST,11/18/2019,POINT (-79.96093843256909 40.465081875233),-79.9609384325691,40.465081875233
114,3.4,400 VENTURE,11/18/2019,POINT (nan nan),,
115,2.0,400 ANTENOR AVE,11/18/2019,POINT (-79.9893401163864 40.3854671178193),-79.9893401163864,40.3854671178193
116,6.92,500 S LINDEN AVE,11/18/2019,POINT (-79.91418361542441 40.4488662461084),-79.9141836154244,40.4488662461084
117,2.0,500 CLAWSON ST,11/18/2019,POINT (-79.89915215231279 40.4534192110882),-79.8991521523128,40.4534192110882
118,3.09,600 N NEGLEY AVE,11/18/2019,POINT (-79.9270050246311 40.468714705776),-79.9270050246311,40.468714705776
119,4.46,600 HASTINGS ST,11/18/2019,POINT (-79.91595868702829 40.4482808096214),-79.9159586870283,40.4482808096214
120,0.0,700 MERCER ST,11/18/2019,POINT (-79.8171228391691 40.4109132837906),-79.8171228391691,40.4109132837906
121,4.0,800 BRYN MAWR RD,11/18/2019,POINT (-79.96024003826859 40.4523512009638),-79.9602400382686,40.4523512009638
122,8.0,800 KENNEBEC ST,11/18/2019,POINT (-79.9355378980064 40.4255468072103),-79.9355378980064,40.4255468072103
123,1.0,900 ORANMORE ST,11/18/2019,POINT (-79.93710874880119 40.4753067357706),-79.9371087488012,40.4753067357706
124,3.0,1000 MILTON ST,11/18/2019,POINT (-79.8961711372575 40.4335669596714),-79.8961711372575,40.4335669596714
125,0.0,1000 BROWNSVILLE RD,11/18/2019,POINT (-79.99201803191229 40.40649953954),-79.9920180319123,40.40649953954
126,2.6,1100 N MURTLAND ST,11/18/2019,POINT (-79.9001417289616 40.46041084067),-79.9001417289616,40.46041084067
127,5.8,1100 DUFFIELD ST,11/18/2019,POINT (-79.93214948666539 40.4777461929827),-79.9321494866654,40.4777461929827
128,0.0,1200 VINEMONT ST,11/18/2019,POINT (-80.04645801289379 40.4331539998249),-80.0464580128938,40.4331539998249
129,2.0,1200 FAIRSTEAD LN,11/18/2019,POINT (-79.9132184256713 40.4219530134705),-79.9132184256713,40.4219530134705
130,27.0,1300 N LANG AVE,11/18/2019,POINT (-79.8977437111424 40.4615534649603),-79.8977437111424,40.4615534649603
131,4.0,1400 WIGHTMAN ST,11/18/2019,POINT (-79.92816647439651 40.4429087149424),-79.9281664743965,40.4429087149424
132,1.93,1400 SHEFFIELD ST,11/18/2019,POINT (-80.02627552255341 40.4533383185512),-80.0262755225534,40.4533383185512
133,0.0,1500 MONTEREY ST,11/18/2019,POINT (-80.0134088929305 40.457293694777),-80.0134088929305,40.457293694777
134,0.0,1600 MOHRBACH ST,11/18/2019,POINT (-79.9090123435677 40.3666709389702),-79.9090123435677,40.3666709389702
135,2.0,1800 DUFFIELD ST,11/18/2019,POINT (-79.9281515131802 40.4872119764736),-79.9281515131802,40.4872119764736
136,0.0,1900 JACOB ST,11/18/2019,POINT (-79.9999206799085 40.3945593547777),-79.9999206799085,40.3945593547777
137,4.92,2200 S 18TH ST,11/18/2019,POINT (nan nan),,
138,1.0,2400 SHADY AVE,11/18/2019,POINT (-79.9206335618363 40.4300280877384),-79.9206335618363,40.4300280877384
139,1.0,4000 BOULEVARD DR,11/18/2019,POINT (-79.9364289980301 40.4266568418527),-79.9364289980301,40.4266568418527
140,1.0,4300 LUDWICK ST,11/18/2019,POINT (-79.92525557921959 40.4209131276165),-79.9252555792196,40.4209131276165
141,1.0,4700 BAYARD ST,11/18/2019,POINT (-79.94855935201601 40.4506689160199),-79.948559352016,40.4506689160199
142,1.0,5000 ROSECREST DR,11/18/2019,POINT (-79.9352753318332 40.4788014105477),-79.9352753318332,40.4788014105477
143,27.2,5400 FRIENDSHIP AVE,11/18/2019,POINT (-79.93717929411351 40.4616985180851),-79.9371792941135,40.4616985180851
144,53.9,5800 NICHOLSON,11/18/2019,POINT (nan nan),,
145,18.5,5800 BARTLETT ST,11/18/2019,POINT (-79.9224141042053 40.4362696700829),-79.9224141042053,40.4362696700829
146,5.23,6500 DARLINGTON,11/18/2019,POINT (nan nan),,
147,37.6,6600 SHETLAND AVE,11/18/2019,POINT (nan nan),,
148,1.0,6800 THOMAS BLVD ,11/18/2019,POINT (-79.90902002472021 40.4537237848186),-79.9090200247202,40.4537237848186
149,1.0,2800 BEECHWOOD BLVD,11/11/2019,POINT (-79.9203684677591 40.4248253231798),-79.9203684677591,40.4248253231798
150,1.0,2900 NORTH CHARLES ST,11/11/2019,POINT (-80.0111468561654 40.4707005439877),-80.0111468561654,40.4707005439877
151,1.0,3100 WADLOW ST,11/11/2019,POINT (-80.0300349442951 40.473569461654),-80.0300349442951,40.473569461654
152,1.0,3400 DELAWARE,11/11/2019,POINT (nan nan),,
153,1.77,3400 MELWOOD AVE,11/11/2019,POINT (-79.9625385763072 40.4583854390457),-79.9625385763072,40.4583854390457
154,1.0,3500 SIMEN AVE,11/11/2019,POINT (-80.0324548257216 40.4794967837171),-80.0324548257216,40.4794967837171
155,1.0,3500 CALIFORNIA AVE,11/11/2019,POINT (-80.04027014460701 40.4782534940036),-80.040270144607,40.4782534940036
156,2.3,3600 PERRYSVILLE AVE,11/11/2019,POINT (-80.0146890008218 40.4845923704296),-80.0146890008218,40.4845923704296
157,1.0,4200 MCCASLIN,11/11/2019,POINT (nan nan),,
158,1.0,4400 CENTRE AVE,11/11/2019,POINT (-79.95357931038841 40.4511779499988),-79.9535793103884,40.4511779499988
159,12.7,5100 CYPRESS ST,11/11/2019,POINT (-79.9440563136429 40.4572972689274),-79.9440563136429,40.4572972689274
160,1.0,5400 DARLINGTON RD,11/11/2019,POINT (-79.93320283742329 40.4353974494555),-79.9332028374233,40.4353974494555
161,1.0,5500 CLAYBOURNE ST,11/11/2019,POINT (-79.9354552218654 40.4556306656485),-79.9354552218654,40.4556306656485
162,1.0,6500 NORTHUMBERLAND ST,11/11/2019,POINT (-79.9163584248743 40.4421948946222),-79.9163584248743,40.4421948946222
163,1.38,6500 BEACON ST,11/11/2019,POINT (-79.91638603810971 40.4344377000882),-79.9163860381097,40.4344377000882
164,24.9,0 OLYMPIA PL,11/4/2019,POINT (-79.9352263197846 40.4459919046658),-79.9352263197846,40.4459919046658
165,2.13,0 MACKEY ST,11/4/2019,POINT (-79.9594527863529 40.4331686090803),-79.9594527863529,40.4331686090803
166,1.0,100 S 13TH ST,11/4/2019,POINT (-79.9854558438942 40.4270484596748),-79.9854558438942,40.4270484596748
167,9.0,100 W MCINTYRE AVE,11/4/2019,POINT (-80.011084492208 40.4684869345631),-80.011084492208,40.4684869345631
168,15.3,100 WESTLAND DR,11/4/2019,POINT (-79.91587338104939 40.4262479965688),-79.9158733810494,40.4262479965688
169,16.0,200 LEHIGH AVE,11/4/2019,POINT (-79.9264630271332 40.4584497807799),-79.9264630271332,40.4584497807799
170,0.0,200 GRANT AVE,11/4/2019,POINT (-80.0393076159489 40.5499719339451),-80.0393076159489,40.5499719339451
171,37.0,200 MAIN ST,11/4/2019,POINT (-80.166419740642 40.5204699781598),-80.166419740642,40.5204699781598
172,0.0,300 39TH ST,11/4/2019,POINT (-79.96093843256909 40.465081875233),-79.9609384325691,40.465081875233
173,6.27,300 MAPLE TER,11/4/2019,POINT (-80.01014249004631 40.4302776026208),-80.0101424900463,40.4302776026208
174,0.0,300 OPHELIA ST,11/4/2019,POINT (-79.9632742762426 40.4349395930251),-79.9632742762426,40.4349395930251
175,2.0,400 BAUSMAN ST,11/4/2019,POINT (-79.99526637782741 40.4143891215395),-79.9952663778274,40.4143891215395
176,2.0,400 CATOMA ST,11/4/2019,POINT (-80.0040734438344 40.4607503126437),-80.0040734438344,40.4607503126437
177,0.0,500 HERSCHEL ST,11/4/2019,POINT (-80.0384554251527 40.4379381641656),-80.0384554251527,40.4379381641656
178,0.0,600 MINDORA ST,11/4/2019,POINT (-80.0110593885631 40.4215996331402),-80.0110593885631,40.4215996331402
179,9.23,600 S NEGLEY AVE,11/4/2019,POINT (-79.9326086469562 40.4543749669853),-79.9326086469562,40.4543749669853
180,2.0,700 N NEGLEY AVE,11/4/2019,POINT (-79.9266927297757 40.4698104012542),-79.9266927297757,40.4698104012542
181,2.0,900 WETTACH ST,11/4/2019,POINT (-79.9924493729425 40.4568515482235),-79.9924493729425,40.4568515482235
182,2.77,900 JAMES ST,11/4/2019,POINT (-79.8776141203919 40.4471794634982),-79.8776141203919,40.4471794634982
183,1.0,1000 ALLEGHENY AVE,11/4/2019,POINT (-80.01940631597761 40.4523663855336),-80.0194063159776,40.4523663855336
184,1.0,1100 HARVARD CIR,11/4/2019,POINT (-80.0307523356461 40.4849982737488),-80.0307523356461,40.4849982737488
185,1.37,1100 N NEGLEY AVE,11/4/2019,POINT (-79.9241741620506 40.4754628215396),-79.9241741620506,40.4754628215396
186,1.03,1200 POCONO ST,11/4/2019,POINT (-79.9040980841847 40.4193616798456),-79.9040980841847,40.4193616798456
187,0.0,1300 HAWTHORNE ST,11/4/2019,POINT (-79.936807494661 40.4814504400126),-79.936807494661,40.4814504400126
188,0.0,1400 BROWNING RD,11/4/2019,POINT (-79.91628468578 40.4761251983677),-79.91628468578,40.4761251983677
189,12.0,1400 N HIGHLAND AVE,11/4/2019,POINT (-79.91712061799259 40.4765260723015),-79.9171206179926,40.4765260723015
190,2.0,1700 WHARTON ST,11/4/2019,POINT (-79.98176079786479 40.430495678361),-79.9817607978648,40.430495678361
191,1.0,1800 MEADVILLE ST,11/4/2019,POINT (-80.0052990160427 40.4620957789237),-80.0052990160427,40.4620957789237
192,10.0,1900 LOWRIE ST,11/4/2019,POINT (-79.9809222475057 40.4657962887308),-79.9809222475057,40.4657962887308
193,1.6,2900 BREKER ST,11/4/2019,POINT (-80.0292041747898 40.4709475857652),-80.0292041747898,40.4709475857652
194,1.0,5400 NORMLEE PL,11/4/2019,POINT (-79.9363003536757 40.4419703593997),-79.9363003536757,40.4419703593997
195,1.0,5500 DARLINGTON RD,11/4/2019,POINT (-79.9304994476084 40.4364095373362),-79.9304994476084,40.4364095373362
196,1.0,5500 BRYANT ST,11/4/2019,POINT (-79.9260640657355 40.4778369925164),-79.9260640657355,40.4778369925164
197,1.0,5800 BARTLETT ST,11/4/2019,POINT (-79.9224141042053 40.4362696700829),-79.9224141042053,40.4362696700829
198,1.0,5900 ALDER ST,11/4/2019,POINT (-79.9287282266432 40.4566519762144),-79.9287282266432,40.4566519762144
199,1.0,6500 LILAC ST,11/4/2019,POINT (-79.9237330829401 40.4230912260248),-79.9237330829401,40.4230912260248
200,1.0,6500 LILAC ST,11/4/2019,POINT (-79.9237330829401 40.4230912260248),-79.9237330829401,40.4230912260248
201,1.03,0 ALLEGHENY CTR,10/29/2019,POINT (nan nan),,
202,1.02,0 S 15TH ST,10/29/2019,POINT (-79.98327078714171 40.4300188767035),-79.9832707871417,40.4300188767035
203,1.0,100 DENNISTON ST ,10/29/2019,POINT (-79.91921554026359 40.4579533803565),-79.9192155402636,40.4579533803565
204,0.0,100 7TH ST,10/29/2019,POINT (-80.0009934739129 40.4441367821882),-80.0009934739129,40.4441367821882
205,0.0,100 N DITHRIDGE ST,10/29/2019,POINT (-79.9509146546268 40.4470426827169),-79.9509146546268,40.4470426827169
206,0.0,100 LONDON TOWNE DR,10/29/2019,POINT (-80.0081389285353 40.4099666124151),-80.0081389285353,40.4099666124151
207,2.0,200 DILWORTH ST,10/29/2019,POINT (-80.0132564697402 40.425607372051),-80.0132564697402,40.425607372051
208,25.0,200 S MATHILDA ST,10/29/2019,POINT (-79.9467915726522 40.4650242714724),-79.9467915726522,40.4650242714724
209,2.0,300 S DALLAS AVE,10/29/2019,POINT (-79.9098702624227 40.44977726985),-79.9098702624227,40.44977726985
210,1.0,300 CHESTER AVE,10/29/2019,POINT (-80.0137016898974 40.4674842672051),-80.0137016898974,40.4674842672051
211,4.0,300 SPAHR ST,10/29/2019,POINT (-79.9278042374324 40.4565688916931),-79.9278042374324,40.4565688916931
212,0.0,400 LLOYD ST,10/29/2019,POINT (-79.90722868793959 40.4474685016098),-79.9072286879396,40.4474685016098
213,1.0,400 S AIKEN AVE,10/29/2019,POINT (-79.93839467889531 40.4594686381297),-79.9383946788953,40.4594686381297
214,4.0,500 NATCHEZ ST,10/29/2019,POINT (-80.01332480248919 40.4269161038469),-80.0133248024892,40.4269161038469
215,5.7,600 WORTH ST,10/29/2019,POINT (-79.9129511664713 40.4464677824171),-79.9129511664713,40.4464677824171
216,7.0,600 FRAYNE ST,10/29/2019,POINT (-79.93590495366909 40.417035427753),-79.9359049536691,40.417035427753
217,0.0,800 MELLON ST,10/29/2019,POINT (-79.92480112906711 40.4717472030458),-79.9248011290671,40.4717472030458
218,4.0,800 MIRROR ST,10/29/2019,POINT (-79.9345393839068 40.4258457678856),-79.9345393839068,40.4258457678856
219,7.81,900 SAINT JAMES ST,10/29/2019,POINT (-79.93612020944811 40.4491316107545),-79.9361202094481,40.4491316107545
220,1.0,1000 MARENA ST,10/29/2019,POINT (-80.0381428918293 40.4462151713347),-80.0381428918293,40.4462151713347
221,2.0,1100 NORTH AVE,10/29/2019,POINT (-79.86228710049041 40.4967825387557),-79.8622871004904,40.4967825387557
222,2.0,1100 LEASIDE DR,10/29/2019,POINT (nan nan),,
223,0.0,1200 BERRY ST,10/29/2019,POINT (-80.0577420612159 40.4511618990127),-80.0577420612159,40.4511618990127
224,2.42,1300 OAKHILL ST,10/29/2019,POINT (-80.03168730794251 40.4721186078155),-80.0316873079425,40.4721186078155
225,0.0,1400 DAGMAR AVE,10/29/2019,POINT (-80.0232269000654 40.4143021961965),-80.0232269000654,40.4143021961965
226,2.08,1500 ASBURY PL,10/29/2019,POINT (-79.92070589105769 40.4413005508685),-79.9207058910577,40.4413005508685
227,4.0,1600 PARKVIEW BLVD,10/29/2019,POINT (-79.9181399213236 40.4176664005886),-79.9181399213236,40.4176664005886
228,5.4,1800 WHARTON ST,10/29/2019,POINT (-79.980178455543 40.4304457769548),-79.980178455543,40.4304457769548
229,1.62,2300 BERG ST,10/29/2019,POINT (-79.97386710707841 40.4200210739427),-79.9738671070784,40.4200210739427
230,1.29,2500 SARAH ST,10/29/2019,POINT (-79.97013520648539 40.4267827520375),-79.9701352064854,40.4267827520375
231,1.0,4700 STANTON AVE,10/29/2019,POINT (-79.9365517019441 40.4808036946617),-79.9365517019441,40.4808036946617
